# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=100
# for k=1.05469e-05 to 226.999 h/Mpc,
# number of wavenumbers equal to 388
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_cdm                 13:t_fld                 14:t_ur                  15:t_tot              
       1.832832864296e-03      -1.959967105960e+00      -1.513197200841e+00      -1.513593936255e+00      -1.255708037597e-01      -1.953666878002e+00      -1.526311082426e+00       6.026476711699e-01       5.902670941566e-01       3.321369482901e-04       4.592994426043e-04       4.594259549041e-04       4.594259503931e-04       3.255022300822e-04       4.544593068472e-04 
       1.919211616010e-03      -1.993320954306e+00      -1.546646735843e+00      -1.547123810629e+00      -1.264540379349e-01      -1.985861596953e+00      -1.559809813637e+00       6.017550819383e-01       5.896486708609e-01       3.517378256272e-04       5.032210679992e-04       5.033731069116e-04       5.033731014377e-04       3.440297380893e-04       4.974593685299e-04 
       2.009661272875e-03      -2.028746201731e+00      -1.583258901194e+00      -1.583833246252e+00      -1.274203930592e-01      -2.019926568324e+00      -1.596451221285e+00       6.007839727751e-01       5.889733983219e-01       3.710082534977e-04       5.513020539633e-04       5.514850773990e-04       5.514850707695e-04       3.620872736794e-04       5.444501876916e-04 
       2.104373690739e-03      -2.066233918079e+00      -1.623327943063e+00      -1.624017706041e+00      -1.284775279158e-01      -2.055825368119e+00      -1.636521486054e+00       5.997283443873e-01       5.882365406684e-01       3.895534933619e-04       6.039295229606e-04       6.041490443819e-04       6.041490363655e-04       3.792757116624e-04       5.957891101299e-04 
       2.203549767340e-03      -2.105743983631e+00      -1.667171984966e+00      -1.667998828387e+00      -1.296338003450e-01      -2.093484771927e+00      -1.680330899369e+00       5.985820106448e-01       5.874330607108e-01       4.068957728097e-04       6.615242177565e-04       6.617868119046e-04       6.617868022240e-04       3.951158974407e-04       6.518635277737e-04 
       2.307399868433e-03      -2.147199900102e+00      -1.715136772029e+00      -1.716129188809e+00      -1.308981250382e-01      -2.132788500496e+00      -1.728218172891e+00       5.973375343964e-01       5.865566080883e-01       4.224599045979e-04       7.245418254341e-04       7.248564918739e-04       7.248564801961e-04       4.090364384360e-04       7.130919300263e-04 
       2.416144274005e-03      -2.190478142712e+00      -1.767595496804e+00      -1.768792391465e+00      -1.322801773419e-01      -2.173567299533e+00      -1.780550189293e+00       5.959871088945e-01       5.856003329372e-01       4.355644618230e-04       7.934762663066e-04       7.938560324945e-04       7.938560184204e-04       4.203684655284e-04       7.799269825320e-04 
       2.530013645521e-03      -2.235366758146e+00      -1.824964032228e+00      -1.826398600349e+00      -1.337908907000e-01      -2.215583934802e+00      -1.837719740522e+00       5.945254807156e-01       5.845599412733e-01       4.454109699464e-04       8.688761092144e-04       8.693302467076e-04       8.693302297586e-04       4.283503063009e-04       8.528635149815e-04 
       2.649249515183e-03      -2.281624488742e+00      -1.887677839387e+00      -1.889403821524e+00      -1.354414458472e-01      -2.258537998392e+00      -1.900158951346e+00       5.929430893835e-01       5.834264284603e-01       4.510781640092e-04       9.513192963443e-04       9.518653721462e-04       9.518653517486e-04       4.321014013913e-04       9.324298016620e-04 
       2.774104798258e-03      -2.328896100477e+00      -1.956222156267e+00      -1.958295391878e+00      -1.372444490851e-01      -2.302041618559e+00      -1.968330174265e+00       5.912332951324e-01       5.821936198180e-01       4.515165447575e-04       1.041446753875e-03       1.042101775905e-03       1.042101751372e-03       4.306489472189e-04       1.019203186414e-03 
       2.904844329541e-03      -2.376746867476e+00      -2.031116419727e+00      -2.033605352383e+00      -1.392133109722e-01      -2.345618759285e+00      -2.042735206739e+00       5.893880562279e-01       5.808535535696e-01       4.455496983483e-04       1.139946725259e-03       1.140731713184e-03       1.140731683691e-03       4.229204648645e-04       1.113805843218e-03 
       3.041745425106e-03      -2.424641018478e+00      -2.112919908986e+00      -2.115911349148e+00      -1.413624219412e-01      -2.388694058195e+00      -2.123916380465e+00       5.873987993200e-01       5.793973504277e-01       4.318796776742e-04       1.247561444503e-03       1.248503693290e-03       1.248503657852e-03       4.077622921024e-04       1.216909728711e-03 
       3.185098470532e-03      -2.471915042353e+00      -2.202242466279e+00      -2.205835332697e+00      -1.437076146571e-01      -2.430584911897e+00      -2.212456556752e+00       5.852587300788e-01       5.778174424437e-01       4.091122436145e-04       1.365100773271e-03       1.366230544223e-03       1.366230501658e-03       3.839780218473e-04       1.329246335479e-03 
       3.335207536847e-03      -2.517787475182e+00      -2.299738829841e+00      -2.304053325929e+00      -1.462656600420e-01      -2.470498361759e+00      -2.308986424267e+00       5.829597702581e-01       5.761044386831e-01       3.757770387493e-04       1.493433357921e-03       1.494787527867e-03       1.494787476764e-03       3.503552605953e-04       1.451604714039e-03 
       3.492391025507e-03      -2.561345325455e+00      -2.406112509368e+00      -2.411294995103e+00      -1.490546928758e-01      -2.507530682319e+00      -2.414184493541e+00       5.804945956787e-01       5.742490265572e-01       3.303815803569e-04       1.633496134334e-03       1.635119713559e-03       1.635119652228e-03       3.057337216052e-04       1.584841157140e-03 
       3.656982343765e-03      -2.601532142888e+00      -2.522126999557e+00      -2.528346823731e+00      -1.520943298659e-01      -2.540672402628e+00      -2.528781243788e+00       5.778570696092e-01       5.722423453741e-01       2.714832788179e-04       1.786303209954e-03       1.788247263422e-03       1.788247189842e-03       2.490872518320e-04       1.729887715228e-03 
